name,status,lat,lng,source,checked_on,note
"사상","source_reviewed","35.1625111","128.9889333","https://ko.wikipedia.org/wiki/사상역_(한국철도공사)","2026-09-21","역 문서 좌표 대조; 측량 정확도 또는 모든 출처의 일치를 보증하지 않음"
"가야","source_reviewed","35.16139","129.04278","https://ko.wikipedia.org/wiki/가야역_(한국철도공사)","2026-09-21","역 문서 좌표 대조; 측량 정확도 또는 모든 출처의 일치를 보증하지 않음"
"범일","source_reviewed","35.1451","129.0575","https://en.wikipedia.org/wiki/Beomil_station_(Korail)","2026-09-21","역 문서 좌표 대조; 측량 정확도 또는 모든 출처의 일치를 보증하지 않음"
"채운신호장","source_reviewed","36.16333","127.04889","https://ko.wikipedia.org/wiki/채운역","2026-09-21","역 문서 좌표 대조; 측량 정확도 또는 모든 출처의 일치를 보증하지 않음"
"연무대","source_reviewed","36.12444","127.0875","https://ko.wikipedia.org/wiki/연무대역","2026-09-21","역 문서 좌표 대조; 측량 정확도 또는 모든 출처의 일치를 보증하지 않음"
"행신","source_reviewed","37.612139","126.834139","https://ko.wikipedia.org/wiki/행신역","2026-09-21","역 문서 좌표 대조; 측량 정확도 또는 모든 출처의 일치를 보증하지 않음"
"서울","source_reviewed","37.555167","126.970833","https://ko.wikipedia.org/wiki/서울역","2026-09-21","역 문서 좌표 대조; 측량 정확도 또는 모든 출처의 일치를 보증하지 않음"
"청량리","source_reviewed","37.580861","127.048389","https://ko.wikipedia.org/wiki/청량리역","2026-09-21","역 문서 좌표 대조; 측량 정확도 또는 모든 출처의 일치를 보증하지 않음"
"상봉","source_reviewed","37.596722","127.08475","https://ko.wikipedia.org/wiki/상봉역","2026-09-21","역 문서 좌표 대조; 측량 정확도 또는 모든 출처의 일치를 보증하지 않음"
"덕소","source_reviewed","37.58639","127.20944","https://ko.wikipedia.org/wiki/덕소역","2026-09-21","역 문서 좌표 대조; 측량 정확도 또는 모든 출처의 일치를 보증하지 않음"
"양평","source_reviewed","37.49833","127.49611","https://ko.wikipedia.org/wiki/양평역_(양평)","2026-09-21","역 문서 좌표 대조; 측량 정확도 또는 모든 출처의 일치를 보증하지 않음"
"서원주","source_reviewed","37.3498","127.837","https://ko.wikipedia.org/wiki/서원주역","2026-09-21","역 문서 좌표 대조; 측량 정확도 또는 모든 출처의 일치를 보증하지 않음"
"만종","source_reviewed","37.356363","127.896399","https://ko.wikipedia.org/wiki/만종역","2026-09-21","역 문서 좌표 대조; 측량 정확도 또는 모든 출처의 일치를 보증하지 않음"
